Name,Record,Height,Weight
Nordine Taleb,14-5-0,185,170
Brad Tavares,17-6-0,185,185
Danielle Taylor,9-3-0,152,115
Jesse Taylor,32-15-0,185,185
Shawn Teed,5-1-0,195,248
Glover Teixeira,27-7-0,187,205
David Teymur,8-1-0,175,155
Elias Theodorou,16-2-0,185,185
Stephen Thompson,14-3-1,182,170
Gleison Tibau,40-14-0,177,155
Darren Till,17-0-1,182,170
Andrew Todhunter,8-0-0,182,185
Jose Torres,8-0-0,162,125
Tecia Torres,10-2-0,154,115
Salim Touahri,10-2-0,177,170
Francisco Trinaldo,22-6-0,175,155
Michael Trizano,8-0-0,180,155
Abel Trujillo,"15-8-0, 1NC",172,155
Jon Tuck,10-4-0,180,155
Gavin Tucker,10-1-0,170,145
Tai Tuivasa,10-0-0,187,264
Zubaira Tukhugov,18-4-0,172,145
Ricky Turcios,8-0-0,172,135
Jalin Turner,6-3-0,190,155
Austin Tweedy,8-2-0,172,155
Marcin Tybura,17-4-0,190,249
