,fighter1,fighter2,method,date,event,class
239,Deiveson Figueiredo,Joseph Morales,TKO,"Feb 3, 2018",UFC Fight Night: Machida vs. Anders,Flyweight
240,Ronaldo Souza,Derek Brunson,KO,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Middleweight
241,Andre Fili,Dennis Bermudez,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Featherweight
242,Gregor Gillespie,Jordan Rinaldi,TKO,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Lightweight
243,Drew Dober,Frank Camacho,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Welterweight
244,Bobby Green,Erik Koch,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Lightweight
245,Mirsad Bektić,Godofredo Pepey,TKO,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Featherweight
246,Katlyn Chookagian,Mara Borella,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Women's Flyweight
247,Randa Markos,Juliana Lima,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Women's Strawweight
248,Kim Ji Yeon,Justine Kish,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Women's Flyweight
249,Vinc Pichel,Joaquim Silva,Decision,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Lightweight
250,Niko Price,George Sullivan,Submission,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Welterweight
251,Cory Sandhagen,Austin Arnett,TKO,"Jan 27, 2018",UFC on Fox: Jacaré vs. Brunson 2,Featherweight
252,Stipe Miocic (c),Francis Ngannou,Decision,"Jan 20, 2018",UFC 220,Heavyweight
253,Daniel Cormier (c),Volkan Oezdemir,TKO,"Jan 20, 2018",UFC 220,Light Heavyweight
254,Calvin Kattar,Shane Burgos,TKO,"Jan 20, 2018",UFC 220,Featherweight
255,Gian Villante,Francimar Barroso,Decision,"Jan 20, 2018",UFC 220,Light Heavyweight
256,Rob Font,Thomas Almeida,TKO,"Jan 20, 2018",UFC 220,Bantamweight
257,Kyle Bochniak,Brandon Davis,Decision,"Jan 20, 2018",UFC 220,Featherweight
258,Abdul Razak Alhassan,Sabah Homasi,KO,"Jan 20, 2018",UFC 220,Welterweight
259,Dustin Ortiz,Alexandre Pantoja,Decision,"Jan 20, 2018",UFC 220,Flyweight
260,Julio Arce,Dan Ige,Decision,"Jan 20, 2018",UFC 220,Featherweight
261,Enrique Barzola,Matt Bessette,Decision,"Jan 20, 2018",UFC 220,Featherweight
262,Islam Makhachev,Gleison Tibau,KO,"Jan 20, 2018",UFC 220,Lightweight
263,Jeremy Stephens,Doo Ho Choi,TKO,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Featherweight
264,Jessica-Rose Clark,Paige VanZant,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Women's Flyweight
265,Kamaru Usman,Emil Weber Meek,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Welterweight
266,Darren Elkins,Michael Johnson,Submission,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Featherweight
267,James Krause,Alex White,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Lightweight
268,Polo Reyes,Matt Frevola,KO,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Lightweight
269,Irene Aldana,Talita Bernardo,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Women's Bantamweight
270,Kyung Ho Kang,Guido Cannetti,Submission,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Bantamweight
271,Jessica Eye,Kalindra Faria,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Women's Flyweight
272,JJ Aldrich,Danielle Taylor,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Women's Strawweight
273,Mads Burnell,Mike Santiago,Decision,"Jan 14, 2018",UFC Fight Night: Stephens vs. Choi,Catchweight
274,Cris Cyborg (c),Holly Holm,Decision,"Dec 30, 2017",UFC 219,Women's Featherweight
275,Khabib Nurmagomedov,Edson Barboza,Decision,"Dec 30, 2017",UFC 219,Lightweight
276,Dan Hooker,Marc Diakiese,Submission,"Dec 30, 2017",UFC 219,Lightweight
277,Carla Esparza,Cynthia Calvillo,Decision,"Dec 30, 2017",UFC 219,Women's Strawweight
278,Neil Magny,Carlos Condit,Decision,"Dec 30, 2017",UFC 219,Welterweight
279,Michał Oleksiejczuk,Khalil Rountree,No Contest,"Dec 30, 2017",UFC 219,Light Heavyweight
280,Myles Jury,Rick Glenn,Decision,"Dec 30, 2017",UFC 219,Featherweight
281,Marvin Vettori,Omari Akhmedov,Draw,"Dec 30, 2017",UFC 219,Middleweight
282,Matheus Nicolau,Louis Smolka,Decision,"Dec 30, 2017",UFC 219,Flyweight
283,Tim Elliott,Mark De La Rosa,Submission,"Dec 30, 2017",UFC 219,Bantamweight
284,Rafael dos Anjos,Robbie Lawler,Decision,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Welterweight
285,Josh Emmett,Ricardo Lamas,KO,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Catchweight
286,Santiago Ponzinibbio,Mike Perry,Decision,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Welterweight
287,Glover Teixeira,Misha Cirkunov,TKO,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Light Heavyweight
288,Jan Błachowicz,Jared Cannonier,Decision,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Light Heavyweight
289,Julian Marquez,Darren Stewart,Submission,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Middleweight
290,Chad Laprise,Galore Bofando,TKO,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Welterweight
291,Nordine Taleb,Danny Roberts,KO,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Welterweight
292,John Makdessi,Abel Trujillo,Decision,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Lightweight
293,Alessio Di Chirico,Oluwale Bamgbose,KO,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Middleweight
294,Jordan Mein,Erick Silva,Decision,"Dec 16, 2017",UFC on Fox: Lawler vs. dos Anjos,Welterweight
295,Brian Ortega,Cub Swanson,Submission,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Featherweight
296,Gabriel Benítez,Jason Knight,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Featherweight
297,Marlon Moraes,Aljamain Sterling,KO,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
298,Scott Holtzman,Darrell Horcher,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Lightweight
299,Eryk Anders,Markus Perez,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Middleweight
300,Benito Lopez,Albert Morales,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
301,Alexis Davis,Liz Carmouche,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Women's Flyweight
302,Andre Soukhamthath,Luke Sanders,TKO,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
303,Alex Perez,Carls John de Tomas,Submission,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
304,Frankie Saenz,Merab Dvalishvili,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
305,Alejandro Pérez,Iuri Alcântara,Decision,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Bantamweight
306,Davi Ramos,Chris Gruetzemacher,Submission,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Lightweight
307,Trevin Giles,Antônio Braga Neto,KO,"Dec 9, 2017",UFC Fight Night: Swanson vs. Ortega,Middleweight
308,Max Holloway (c),José Aldo ,TKO,"Dec 2, 2017",UFC 218,Featherweight
309,Francis Ngannou,Alistair Overeem,KO,"Dec 2, 2017",UFC 218,Heavyweight
310,Henry Cejudo,Sergio Pettis,Decision,"Dec 2, 2017",UFC 218,Flyweight
311,Eddie Alvarez,Justin Gaethje,KO,"Dec 2, 2017",UFC 218,Lightweight
312,Tecia Torres,Michelle Waterson,Decision,"Dec 2, 2017",UFC 218,Women's Strawweight
313,Paul Felder,Charles Oliveira,TKO,"Dec 2, 2017",UFC 218,Lightweight
314,Yancy Medeiros,Alex Oliveira,TKO,"Dec 2, 2017",UFC 218,Welterweight
315,David Teymur,Drakkar Klose,Decision,"Dec 2, 2017",UFC 218,Lightweight
316,Felice Herrig,Cortney Casey,Decision,"Dec 2, 2017",UFC 218,Women's Strawweight
317,Amanda Cooper,Angela Magaña,TKO,"Dec 2, 2017",UFC 218,Women's Strawweight
318,Abdul Razak Alhassan,Sabah Homasi,TKO,"Dec 2, 2017",UFC 218,Welterweight
319,Dominick Reyes,Jeremy Kimball,Submission,"Dec 2, 2017",UFC 218,Light Heavyweight
320,Justin Willis,Allen Crowder,KO,"Dec 2, 2017",UFC 218,Heavyweight
321,Nicco Montaño,Roxanne Modafferi,Decision,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
322,Sean O'Malley,Terrion Ware,Decision,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Bantamweight
323,Lauren Murphy,Barb Honchak,Decision,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
324,Gerald Meerschaert,Eric Spicely,TKO,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Middleweight
325,DeAnna Bennett,Melinda Fábián,Draw,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
326,Brett Johns,Joe Soto,Submission,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Bantamweight
327,Montana De La Rosa,Christina Marks,Submission,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
328,Ryan Janes,Andrew Sanchez,TKO,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Middleweight
329,Rachael Ostovich,Karine Gevorgyan,Submission,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Catchweight
330,Shana Dobson,Ariel Beck,TKO,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
331,Gillian Robertson,Emily Whitmire,Submission,"Dec 1, 2017",The Ultimate Fighter: A New World Champion#The Ultimate Fighter 26 Finale,Women's Flyweight
332,Kelvin Gastelum,Michael Bisping,KO,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Middleweight
333,Li Jingliang,Zak Ottow,TKO,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Welterweight
334,Wang Guan,Alex Caceres,Decision,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Featherweight
335,Alex Garcia,Muslim Salikhov,Submission,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Welterweight
336,Zabit Magomedsharipov,Sheymon Moraes,Submission,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Featherweight
337,Song Kenan,Bobby Nash,TKO,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Welterweight
338,Yan Xiaonan,Kailin Curran,Decision,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Women's Strawweight
339,Song Yadong,Bharat Kandare,Submission,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Featherweight
340,Shamil Abdurakhimov,Chase Sherman,KO,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Heavyweight
341,Gina Mazany,Wu Yanan,Decision,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Women's Bantamweight
342,Rolando Dy,Wuliji Buren,Decision,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Catchweight
343,Cyril Asker,Hu Yaozong,Submission,"Nov 25, 2017",UFC Fight Night: Bisping vs. Gastelum,Heavyweight
344,Fabrício Werdum,Marcin Tybura,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Heavyweight
345,Jessica-Rose Clark,Bec Rawlings,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Catchweight
346,Belal Muhammad,Tim Means,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Welterweight
347,Jake Matthews,Bojan Veličković,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Welterweight
348,Elias Theodorou,Dan Kelly,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Middleweight
349,Alexander Volkanovski,Shane Young,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Catchweight
350,Ryan Benoit,Ashkan Mokhtarian,KO,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Catchweight
351,Nik Lentz,Will Brooks,Submission,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Lightweight
352,Tai Tuivasa,Rashad Coulter,KO,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Heavyweight
353,Frank Camacho,Damien Brown,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Catchweight
354,Nadia Kassem,Alex Chambers,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Catchweight
355,Eric Shelton,Jenel Lausa,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Flyweight
356,Adam Wieczorek,Anthony Hamilton,Decision,"Nov 19, 2017",UFC Fight Night: Werdum vs. Tybura,Heavyweight
357,Dustin Poirier,Anthony Pettis,TKO,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Lightweight
358,Matt Brown,Diego Sanchez,KO,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Welterweight
359,Andrei Arlovski,Júnior Albini,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Heavyweight
360,Cezar Ferreira,Nate Marquardt,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Middleweight
361,Raphael Assunção,Matthew Lopez,KO,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Catchweight
362,Clay Guida,Joe Lauzon,TKO,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Lightweight
363,Marlon Moraes,John Dodson,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Bantamweight
364,Tatiana Suarez,Viviane Pereira,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Women's Strawweight
365,Sage Northcutt,Michel Quiñones,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Lightweight
366,Nina Ansaroff,Angela Hill,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Women's Strawweight
367,Sean Strickland,Court McGee,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Welterweight
368,Jake Collier,Marcel Fortuna,Decision,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Light Heavyweight
369,Karl Roberson,Darren Stewart,Submission,"Nov 11, 2017",UFC Fight Night: Poirier vs. Pettis,Middleweight
370,Georges St-Pierre,Michael Bisping (c),Technical Submission,"Nov 4, 2017",UFC 217,Middleweight
371,T.J. Dillashaw,Cody Garbrandt (c),KO,"Nov 4, 2017",UFC 217,Bantamweight
372,Rose Namajunas,Joanna Jędrzejczyk (c),TKO,"Nov 4, 2017",UFC 217,Women's Strawweight
373,Stephen Thompson,Jorge Masvidal,Decision,"Nov 4, 2017",UFC 217,Welterweight
374,Paulo Costa,Johny Hendricks,TKO,"Nov 4, 2017",UFC 217,Middleweight
375,James Vick,Joseph Duffy,TKO,"Nov 4, 2017",UFC 217,Lightweight
376,Mark Godbeer,Walt Harris,Disqualification,"Nov 4, 2017",UFC 217,Heavyweight
377,Ovince Saint Preux,Corey Anderson,KO,"Nov 4, 2017",UFC 217,Light Heavyweight
378,Randy Brown,Mickey Gall,Decision,"Nov 4, 2017",UFC 217,Welterweight
379,Curtis Blaydes,Oleksiy Oliynyk,TKO,"Nov 4, 2017",UFC 217,Heavyweight
380,Ricardo Ramos,Aiemann Zahabi,KO,"Nov 4, 2017",UFC 217,Bantamweight
381,Derek Brunson,Lyoto Machida,KO,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Middleweight
382,Colby Covington,Demian Maia,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Welterweight
383,Pedro Munhoz,Rob Font,Submission,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Bantamweight
384,Francisco Trinaldo,Jim Miller,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Lightweight
385,Thiago Santos,Jack Hermansson,TKO,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Middleweight
386,John Lineker,Marlon Vera,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Bantamweight
387,Vicente Luque,Niko Price,Submission,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Welterweight
388,Antônio Carlos Júnior,Jack Marshman,Submission,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Middleweight
389,Jared Gordon,Hacran Dias,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Lightweight
390,Elizeu Zaleski dos Santos,Max Griffin,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Welterweight
391,Deiveson Figueiredo,Jarred Brooks,Decision,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Flyweight
392,Marcelo Golm,Christian Colombo,Submission,"Oct 28, 2017",UFC Fight Night: Brunson vs. Machida,Heavyweight
393,Darren Till,Donald Cerrone,TKO,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Welterweight
394,Karolina Kowalkiewicz,Jodie Esquibel,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Women's Strawweight
395,Jan Błachowicz,Devin Clark,Submission,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Light Heavyweight
396,Oskar Piechota,Jonathan Wilson,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Middleweight
397,Marcin Held,Nasrat Haqparast,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Lightweight
398,Brian Kelleher,Damian Stasiak,TKO,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Bantamweight
399,Ramazan Emeev,Sam Alvey,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Catchweight
400,Andre Fili,Artem Lobov,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Featherweight
401,Warlley Alves,Salim Touahri,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Welterweight
402,Aspen Ladd,Lina Länsberg,TKO,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Women's Bantamweight
403,Josh Emmett,Felipe Arantes,Decision,"Oct 21, 2017",UFC Fight Night: Cowboy vs. Till,Featherweight
404,Tony Ferguson,Kevin Lee,Submission,"Oct 7, 2017",UFC 216,Lightweight
405,Demetrious Johnson (c),Ray Borg,Submission,"Oct 7, 2017",UFC 216,Flyweight
406,Fabrício Werdum,Walt Harris,Submission,"Oct 7, 2017",UFC 216,Heavyweight
407,Mara Romero Borella,Kalindra Faria,Submission,"Oct 7, 2017",UFC 216,Women's Flyweight
408,Beneil Dariush,Evan Dunham,Draw,"Oct 7, 2017",UFC 216,Lightweight
409,Cody Stamann,Tom Duquesnoy,Decision,"Oct 7, 2017",UFC 216,Bantamweight
410,Lando Vannata,Bobby Green,Draw,"Oct 7, 2017",UFC 216,Lightweight
411,Poliana Botelho,Pearl Gonzalez,Decision,"Oct 7, 2017",UFC 216,Women's Strawweight
412,Matt Schnell,Marco Beltrán,Decision,"Oct 7, 2017",UFC 216,Flyweight
413,John Moraga,Magomed Bibulatov,KO,"Oct 7, 2017",UFC 216,Flyweight
414,Brad Tavares,Thales Leites,Decision,"Oct 7, 2017",UFC 216,Middleweight
415,Ovince Saint Preux,Yushin Okami,Technical Submission,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Light Heavyweight
416,Jéssica Andrade,Cláudia Gadelha,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Women's Strawweight
417,Dong Hyun Kim,Takanori Gomi,TKO,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Lightweight
418,Gökhan Saki,Henrique da Silva,KO,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Light Heavyweight
419,Teruto Ishihara,Rolando Dy,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Featherweight
420,Jussier Formiga,Ulka Sasaki,Submission,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Flyweight
421,Keita Nakamura,Alex Morono,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Welterweight
422,Syuri Kondo,Chan-Mi Jeon,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Women's Strawweight
423,Shinsho Anzai,Luke Jumeau,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Welterweight
424,Daichi Abe,Hyun Gyu Lim,Decision,"Sep 23, 2017",UFC Fight Night: Saint Preux vs. Okami,Welterweight
425,Luke Rockhold,David Branch,Submission,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Middleweight
426,Mike Perry,Alex Reyes,KO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Welterweight
427,Anthony Smith,Hector Lombard,TKO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Middleweight
428,Gregor Gillespie,Jason Gonzalez,Submission,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Lightweight
429,Kamaru Usman,Sérgio Moraes,KO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Welterweight
430,Justin Ledet,Zu Anyanwu,Decision,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Heavyweight
431,Olivier Aubin-Mercier,Tony Martin,Decision,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Lightweight
432,Daniel Spitz,Anthony Hamilton,TKO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Heavyweight
433,Uriah Hall,Krzysztof Jotko,KO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Middleweight
434,Gilbert Burns,Jason Saggo,KO,"Sep 16, 2017",UFC Fight Night: Rockhold vs. Branch,Lightweight
435,Amanda Nunes (c),Valentina Shevchenko,Decision,"Sep 9, 2017",UFC 215,Women's Bantamweight
436,Rafael dos Anjos,Neil Magny,Submission,"Sep 9, 2017",UFC 215,Welterweight
437,Henry Cejudo,Wilson Reis,TKO,"Sep 9, 2017",UFC 215,Flyweight
438,Ilir Latifi,Tyson Pedro,Decision,"Sep 9, 2017",UFC 215,Light Heavyweight
439,Jeremy Stephens,Gilbert Melendez,Decision,"Sep 9, 2017",UFC 215,Featherweight
440,Ketlen Vieira,Sara McMann,Submission,"Sep 9, 2017",UFC 215,Women's Bantamweight
441,Sarah Moras,Ashlee Evans-Smith,Submission,"Sep 9, 2017",UFC 215,Women's Bantamweight
442,Rick Glenn,Gavin Tucker,Decision,"Sep 9, 2017",UFC 215,Featherweight
443,Alex White,Mitch Clarke,TKO,"Sep 9, 2017",UFC 215,Lightweight
444,Arjan Bhullar,Luis Henrique,Decision,"Sep 9, 2017",UFC 215,Heavyweight
445,Kajan Johnson,Adriano Martins,KO,"Sep 9, 2017",UFC 215,Lightweight
446,Alexander Volkov,Stefan Struve,TKO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Heavyweight
447,Siyar Bahadurzada,Rob Wilkinson,TKO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Middleweight
448,Marion Reneau,Talita Bernardo,TKO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Women's Bantamweight
449,Leon Edwards,Bryan Barberena,Decision,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Welterweight
450,Darren Till,Bojan Veličković,Decision,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Welterweight
451,Mairbek Taisumov,Felipe Silva,KO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Lightweight
452,Michel Prazeres,Mads Burnell,Submission,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Catchweight
453,Rustam Khabilov,Desmond Green,Decision,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Lightweight
454,Aleksandar Rakić,Francimar Barroso,Decision,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Light Heavyweight
455,Zabit Magomedsharipov,Mike Santiago,Submission,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Featherweight
456,Abdul-Kerim Edilov,Bojan Mihajlović,TKO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Light Heavyweight
457,Thibault Gouti,Andrew Holbrook,TKO,"Sep 2, 2017",UFC Fight Night: Volkov vs. Struve,Lightweight
458,Sergio Pettis,Brandon Moreno,Decision,"Aug 5, 2017",UFC Fight Night: Pettis vs. Moreno,Flyweight
459,Alexa Grasso,Randa Markos,Decision,"Aug 5, 2017",UFC Fight Night: Pettis vs. Moreno,Catchweight
