,First,Last,Nickname,Ht,Wt,Reach,Stance,Win,Loss,Draw,Total Fights,Wt_numeric,Htcm
835,Tyler,Hill,Zombie,"6' 3""",170 lbs.,"78.0""",Switch,8,1,0,9,170,190.5
836,Jonathan,Meunier,The French Spider,"6' 3""",170 lbs.,"75.0""",Switch,8,1,0,9,170,190.5
837,Joe,Cason,,"6' 3""",205 lbs.,--,,8,1,0,9,205,190.5
838,Richard,Odoms,The Black Eagle,"6' 5""",265 lbs.,"82.0""",Orthodox,8,1,0,9,265,195.57999999999998
839,Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,1,0,9,265,195.57999999999998
842,Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0,9,170,177.8
843,Lance,Benoist,,"5' 11""",170 lbs.,"73.0""",Southpaw,7,2,0,9,170,180.34
844,Angelo,Trevino,Baby Monsta,"5' 11""",170 lbs.,--,Switch,7,2,0,9,170,180.34
845,Joe,Gigliotti,Capo,"5' 11""",185 lbs.,"69.0""",Orthodox,7,2,0,9,185,180.34
846,Karla,Benitez,,"5' 3""",113 lbs.,--,,6,2,1,9,113,160.02
847,Molly,McCann,Meatball,"5' 4""",125 lbs.,"62.0""",Orthodox,7,2,0,9,125,162.56
848,Ericka,Almeida,,"5' 6""",115 lbs.,"68.0""",,7,2,0,9,115,167.64000000000001
849,Josh,Clopton,The Gentleman,"5' 6""",145 lbs.,"68.0""",Orthodox,6,2,1,9,145,167.64000000000001
850,Alex,Soto,Extremo,"5' 8""",135 lbs.,"71.0""",Southpaw,6,2,1,9,135,172.72
851,James,Barnes,,"5' 8""",145 lbs.,--,,7,2,0,9,145,172.72
852,Diego,Rivas,Pitbull,"5' 8""",145 lbs.,"69.0""",Orthodox,7,2,0,9,145,172.72
853,Jorge,de Oliveira,Blade,"5' 8""",155 lbs.,"71.0""",Orthodox,7,2,0,9,155,172.72
854,Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,7,2,0,9,170,175.26
855,Steve,Garcia,Mean Machine,"6' 0""",135 lbs.,--,,7,2,0,9,135,182.88
856,Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,9,145,182.88
857,Oliver,Enkamp,The Future,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0,9,170,182.88
858,Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,9,183,182.88
859,Tom,DeBlass,,"6' 0""",185 lbs.,"75.0""",Orthodox,7,2,0,9,185,182.88
860,Jordan,Williams,Bomaye,"6' 0""",185 lbs.,"75.0""",Southpaw,7,2,0,9,185,182.88
861,Jason,Jackson,Jah-Son,"6' 1""",170 lbs.,"78.0""",Orthodox,7,2,0,9,170,185.42
862,Cortez,Coleman,Hollywood,"6' 1""",185 lbs.,--,,7,2,0,9,185,185.42
